Hour,NormalizedLoad
6522,0.671542002
6523,0.674080796
6524,0.65584267
6525,0.636560691
6526,0.646596984
6527,0.630563553
6528,0.611412128
6529,0.634429732
6530,0.606635562
6531,0.609803733
6532,0.623245382
6533,0.600817016
6534,0.597065366
6535,0.623508827
6536,0.583134127
6537,0.597114739
6538,0.591945923
6539,0.573638762
6540,0.56842264
6541,0.568180894
6542,0.558564496
6543,0.556668579
6544,0.552474229
6545,0.550686542
6546,0.540155391
6547,0.567086383
6548,0.55378234
6549,0.547091871
6550,0.548558362
6551,0.539323509
6552,0.553806745
6553,0.567197189
6554,0.546151272
6555,0.55664856
6556,0.55842956
6557,0.558477494
6558,0.557773938
6559,0.56937982
6560,0.573350168
6561,0.550966274
6562,0.552150063
6563,0.553895459
6564,0.534806294
6565,0.541959318
6566,0.546331216
6567,0.529863358
6568,0.551536995
6569,0.542070543
6570,0.556430971
6571,0.571411144
6572,0.59134279
6573,0.573831629
6574,0.584615333
6575,0.590683303
6576,0.596088844
6577,0.628224627
6578,0.636531111
6579,0.630750325
6580,0.67843336
6581,0.687208091
6582,0.703767512
6583,0.721822736
6584,0.721415378
6585,0.701018834
6586,0.729744759
6587,0.723353006
6588,0.717698372
6589,0.720402443
6590,0.701031242
6591,0.70222586
6592,0.687245668
6593,0.692885826
6594,0.693022522
6595,0.719233019
6596,0.709542434
6597,0.695867089
6598,0.689588344
6599,0.708103595
6600,0.674787903
6601,0.712530848
6602,0.699517933
6603,0.701296004
6604,0.719842368
6605,0.721255571
6606,0.739158752
6607,0.75462017
6608,0.756997207
6609,0.735091141
6610,0.753355787
6611,0.740473454
6612,0.726631518
6613,0.71801534
6614,0.70169543
6615,0.69189983
6616,0.707156024
6617,0.700995905
6618,0.701190684
6619,0.715697634
6620,0.718932294
6621,0.701428623
6622,0.716059509
6623,0.714834624
6624,0.691779269
6625,0.571171911
6626,0.548495641
6627,0.559878271
6628,0.562597692
6629,0.564822209
6630,0.567162323
6631,0.567587609
6632,0.582915709
6633,0.551054199
6634,0.559696581
6635,0.557043277
6636,0.542861033
6637,0.545200393
6638,0.548194268
6639,0.530524349
6640,0.556483049
6641,0.550308838
6642,0.563505679
6643,0.572541648
6644,0.590716736
6645,0.578588865
6646,0.590128292
6647,0.597937847
6648,0.603649817
6649,0.711678787
6650,0.705864474
6651,0.70050425
6652,0.72487638
6653,0.724827643
6654,0.744591
6655,0.765261522
6656,0.764420764
6657,0.742077002
6658,0.763676637
6659,0.744006062
6660,0.738748143
6661,0.730437009
6662,0.710610119
6663,0.703375346
6664,0.712870863
6665,0.709523608
6666,0.709235516
6667,0.724890839
6668,0.72491127
6669,0.714991215
6670,0.726208475
6671,0.727721509
6672,0.701316239
6673,0.736616209
6674,0.735818758
6675,0.713291834
6676,0.735002162
6677,0.745856121
6678,0.76433997
6679,0.762175725
6680,0.767690516
6681,0.748210051
6682,0.757333935
6683,0.741050015
6684,0.733252418
6685,0.736772922
6686,0.731507097
6687,0.700772846
6688,0.712556237
6689,0.680749667
6690,0.694960651
6691,0.697600081
6692,0.67535333
6693,0.663746083
6694,0.672722385
6695,0.661528687
6696,0.634827474
6697,0.661612452
6698,0.632072993
6699,0.636810586
6700,0.648479229
6701,0.629361398
6702,0.624164147
6703,0.647621911
6704,0.612940806
6705,0.626503484
6706,0.615796591
6707,0.599918831
6708,0.597546042
6709,0.596953734
6710,0.583193511
6711,0.581272609
6712,0.576916705
6713,0.577832609
6714,0.568099572
6715,0.588048584
6716,0.576569463
6717,0.569464926
6718,0.57055805
6719,0.565435804
6720,0.572967377
6721,0.59059748
6722,0.565375229
6723,0.574281025
6724,0.574605332
6725,0.582170415
6726,0.579470059
6727,0.585873668
6728,0.594047693
6729,0.574676895
6730,0.572480671
6731,0.576850558
6732,0.556310475
6733,0.56233283
6734,0.568638996
6735,0.551919625
6736,0.571656421
6737,0.566317749
6738,0.581072514
6739,0.590564486
6740,0.60760614
6741,0.599704948
6742,0.611728913
6743,0.612718998
6744,0.622160504
6745,0.654246428
6746,0.663027865
6747,0.659733967
6748,0.704130691
6749,0.710538416
6750,0.733393261
6751,0.747451715
6752,0.742957985
6753,0.720957615
6754,0.756003207
6755,0.748309695
6756,0.747444873
6757,0.747563457
6758,0.722561351
6759,0.72476259
6760,0.71761369
6761,0.724873846
6762,0.717538199
6763,0.746558695
6764,0.743103084
6765,0.729584947
6766,0.723052299
6767,0.741102558
6768,0.705311299
6769,0.739080819
6770,0.73440005
6771,0.727387529
6772,0.748051559
6773,0.753271548
6774,0.770951832
6775,0.784334078
6776,0.786140291
6777,0.765809078
6778,0.787488919
6779,0.770585657
6780,0.762542601
6781,0.751121039
6782,0.738383637
6783,0.729507587
6784,0.736622473
6785,0.736166383
6786,0.731660834
6787,0.753943876
6788,0.753449375
6789,0.740572728
6790,0.757016967
6791,0.754001812
6792,0.72885153
6793,0.741040294
6794,0.734745592
6795,0.734484702
6796,0.752713331
6797,0.754251575
6798,0.772015341
6799,0.793575833
6800,0.79158305
6801,0.768156253
6802,0.79065076
6803,0.775407941
6804,0.766742318
6805,0.75389658
6806,0.743925998
6807,0.734209706
6808,0.74116284
6809,0.737261753
6810,0.733359102
6811,0.757376143
6812,0.753432781
6813,0.736845985
6814,0.754390845
6815,0.752673881
6816,0.73058444
6817,0.742052698
6818,0.733512468
6819,0.730768892
6820,0.752759993
6821,0.756683171
6822,0.773361096
6823,0.791546941
6824,0.792013918
6825,0.771447205
6826,0.793875953
6827,0.779571886
6828,0.763884789
6829,0.76161223
6830,0.743812133
6831,0.732633045
6832,0.742673566
6833,0.739175376
6834,0.735030805
6835,0.757773239
6836,0.756219194
6837,0.741972003
6838,0.761335794
6839,0.752933986
6840,0.737361121
